Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ
32.582,-2.38,1.88,1.75,125,63,16
32.584,-3.00,1.88,1.88,172,78,-16
32.586,-3.75,1.12,0.25,94,63,-16
32.588,-3.50,0.12,-0.12,94,109,-16
32.590,-1.88,-0.38,0.88,156,156,-31
32.592,-0.62,-1.00,1.12,188,203,-63
32.594,0.00,-1.00,1.62,156,219,-109
32.596,0.38,-1.12,0.88,125,188,-141
32.598,0.75,-1.88,1.00,141,203,-172
32.600,2.12,-3.38,1.38,141,219,-172
32.602,3.12,-4.12,2.00,125,172,-141
32.604,3.62,-4.00,1.62,141,141,-109
32.606,2.25,-2.62,1.50,109,125,-78
32.608,1.75,-1.88,0.75,31,141,-47
32.610,1.50,-1.12,0.38,-31,125,-31
32.612,1.38,-0.62,0.38,-31,109,-31
32.614,1.12,-0.12,0.88,16,109,-31
32.616,0.75,0.25,1.12,31,94,-31
32.618,0.62,0.25,1.25,31,78,-31
32.620,0.50,0.38,1.12,31,78,-47
32.622,0.25,0.62,1.25,47,94,-78
32.624,0.38,0.75,1.12,63,94,-94
32.626,0.50,0.88,1.00,47,78,-125
32.628,1.12,0.50,1.12,47,47,-141
32.630,1.62,0.25,1.50,63,47,-125
32.632,2.00,-0.25,1.75,78,47,-94
32.634,2.12,-0.75,1.62,63,31,-47
32.636,2.12,-1.12,1.62,63,16,-16
32.638,2.00,-1.38,1.62,63,0,0
32.640,1.88,-1.50,1.75,47,0,16
32.642,1.75,-1.50,1.88,47,-16,16
32.644,1.38,-1.38,1.88,31,-31,16
32.646,1.12,-1.25,2.00,31,-47,16
32.648,0.88,-1.25,1.88,16,-47,16
32.650,0.62,-1.12,1.75,16,-63,16
32.652,0.50,-1.00,1.62,0,-63,16
32.654,0.38,-1.00,1.62,0,-63,16
32.656,0.38,-1.00,1.50,-16,-63,16
32.658,0.25,-1.00,1.50,-16,-63,16
32.660,0.25,-1.00,1.25,-31,-63,16
32.662,0.38,-1.00,1.25,-31,-63,0
32.664,0.50,-1.00,1.12,-31,-63,0
32.666,0.62,-1.00,1.12,-47,-63,0
32.668,0.62,-1.00,1.12,-47,-63,-16
32.670,0.75,-1.12,1.12,-63,-63,-16
32.672,0.75,-1.12,1.12,-63,-78,-16
32.674,0.62,-1.00,1.00,-78,-78,-16
